Playback2.acq
Graph Created on: 2024-02-26 21:48:18.248
Recording on: 2024-02-26 21:49:05.654
2.48756 msec/sample
5 channels
Count
number
ECG
µV
PPG
µV
EDA
µS
Temperature
C
sec,CH1,CH2,CH3,CH4,CH5,
,8022 samples,8022 samples,8022 samples,8022 samples,8022 samples,
10.3308,77,4167,1758.31,1.53152,29.5146,
10.3333,77,4167,1756.03,1.53152,29.5146,
10.3358,77,4167,1755.26,1.53152,29.5146,
10.3383,77,4167,1754.25,1.53152,29.5146,
10.3408,77,4167,1751.19,1.53152,29.5146,
10.3433,77,4167,1750.68,1.53152,29.5146,
10.3458,77,4167,1748.65,1.53152,29.5146,
10.3483,77,4167,1747.63,1.53152,29.5146,
10.3507,77,4167,1745.85,1.53152,29.5146,
10.3532,77,4167,1740.51,1.53152,29.5146,
10.3557,77,4167,1742.29,1.53152,29.5146,
10.3582,77,4167,1744.33,1.53152,29.5146,
10.3607,77,4167,1738.98,1.53152,29.5146,
10.3632,77,4167,1744.07,1.53152,29.5146,
10.3657,77,4167,1741.02,1.53152,29.5146,
10.3682,77,4167,1737.46,1.53152,29.5146,
10.3706,77,4167,1736.19,1.53152,29.5146,
10.3731,77,4167,1736.95,1.53152,29.5146,
10.3756,77,4167,1740,1.53152,29.5146,
10.3781,77,4167,1738.22,1.53152,29.5146,
10.3806,77,4167,1734.66,1.53152,29.5146,
10.3831,77,4167,1734.15,1.53152,29.5146,
10.3856,77,4167,1726.27,1.53152,29.5146,
10.3881,77,4167,1728.3,1.53152,29.5146,
10.3905,77,4167,1726.78,1.53152,29.5146,
10.393,77,4167,1728.3,1.53152,29.5146,
10.3955,77,4167,1727.28,1.53152,29.5146,
10.398,77,4167,1723.72,1.53152,29.5146,
10.4005,77,4167,1719.4,1.53152,29.5146,
10.403,77,4167,1719.15,1.53152,29.5146,
10.4055,77,4167,1719.91,1.53152,29.5146,
10.408,77,4167,1720.42,1.53152,29.5146,
10.4104,77,4167,1717.87,1.53152,29.5146,
10.4129,77,4167,1720.42,1.53152,29.5146,
10.4154,77,4167,1713.04,1.53152,29.5146,
10.4179,77,4167,1703.12,1.53152,29.5146,
10.4204,77,4167,1705.66,1.53152,29.5146,
10.4229,77,4167,1705.41,1.53152,29.5146,
10.4254,78,4167,1705.66,1.53189,29.5146,
10.4279,78,4167,1702.87,1.53189,29.5146,
10.4303,78,4167,1701.85,1.53189,29.5146,
10.4328,78,4167,1697.27,1.53189,29.5146,
10.4353,78,4167,1693.2,1.53189,29.5146,
10.4378,78,4167,1692.95,1.53189,29.5146,
10.4403,78,4167,1689.64,1.53189,29.5146,
10.4428,78,4167,1684.3,1.53189,29.5146,
10.4453,78,4167,1684.3,1.53189,29.5146,
10.4478,78,4167,1684.3,1.53189,29.5146,
10.4502,78,4167,1682.01,1.53189,29.5146,
10.4527,78,4167,1675.65,1.53189,29.5146,
10.4552,78,4167,1676.16,1.53189,29.5146,
10.4577,78,4167,1673.11,1.53189,29.5146,
10.4602,78,4167,1673.36,1.53189,29.5146,
10.4627,78,4167,1676.41,1.53189,29.5146,
10.4652,78,4167,1666.75,1.53189,29.5146,
10.4677,78,4167,1666.75,1.53189,29.5146,
10.4701,78,4167,1667.26,1.53189,29.5146,
10.4726,78,4167,1663.7,1.53189,29.5146,
10.4751,78,4167,1664.97,1.53189,29.5146,
10.4776,78,4167,1667.77,1.53189,29.5146,
10.4801,78,4167,1667,1.53189,29.5146,
10.4826,78,4167,1667.26,1.53189,29.5146,
10.4851,78,4167,1664.97,1.53189,29.5146,
10.4876,78,4167,1664.46,1.53189,29.5146,
10.49,78,4167,1662.43,1.53189,29.5146,
10.4925,78,4167,1663.19,1.53189,29.5146,
10.495,78,4167,1662.43,1.53189,29.5146,
10.4975,78,4167,1658.61,1.53189,29.5146,
10.5,78,4167,1664.97,1.53189,29.5146,
10.5025,78,4167,1661.66,1.53189,29.5146,
10.505,78,4167,1655.56,1.53189,29.5146,
10.5075,78,4167,1657.34,1.53189,29.5146,
10.51,78,4167,1655.81,1.53189,29.5146,
10.5124,78,4167,1655.05,1.53189,29.5146,
10.5149,78,4167,1649.2,1.53189,29.5146,
10.5174,78,4167,1653.78,1.53189,29.5146,
10.5199,78,4167,1655.3,1.53189,29.5146,
10.5224,78,4167,1654.29,1.53189,29.5146,
10.5249,79,4167,1646.66,1.53189,29.5199,
10.5274,79,4167,1651.49,1.53189,29.5199,
10.5299,79,4167,1652.76,1.53189,29.5199,
10.5323,79,4167,1648.69,1.53189,29.5199,
10.5348,79,4167,1648.44,1.53189,29.5199,
10.5373,79,4167,1645.38,1.53189,29.5199,
10.5398,79,4167,1649.2,1.53189,29.5199,
10.5423,79,4167,1651.74,1.53189,29.5199,
10.5448,79,4167,1652.51,1.53189,29.5199,
10.5473,79,4167,1651.23,1.53189,29.5199,
10.5498,79,4167,1650.98,1.53189,29.5199,
10.5522,79,4167,1645.13,1.53189,29.5199,
10.5547,79,4167,1645.38,1.53189,29.5199,
10.5572,79,4167,1645.13,1.53189,29.5199,
10.5597,79,4167,1644.62,1.53189,29.5199,
10.5622,79,4167,1644.11,1.53189,29.5199,
10.5647,79,4167,1640.81,1.53189,29.5199,
10.5672,79,4167,1639.79,1.53189,29.5199,
10.5697,79,4167,1632.67,1.53189,29.5199,
10.5721,79,4167,1634.96,1.53189,29.5199,
10.5746,79,4167,1631.65,1.53189,29.5251,
10.5771,79,4167,1629.36,1.53189,29.5251,
10.5796,79,4167,1629.36,1.53189,29.5251,
